89 30 49876
1 DCaXAdGAdp 700
2 yhpiAGtNNK 650
3 gyFKgBuxMj 1000
4 dmLIEBXGdd 800
5 nCKankBPaT 350
6 HBMhlvtLPs 750
7 nrvlfDuggc 850
8 KaIrVsbzzm 250
9 oWWKmrjCCw 400
10 buZaAdjEgT 450
11 mTrQwQllKS 800
12 PJEwqlTTat 600
13 XIUJqaHieK 650
14 URctIiZQdD 100
15 bwQTHgMHDB 150
16 RbGsUWYBus 950
17 rdCQXddWIo 700
18 GkWQCzGQEG 200
19 NJPRGuqWfE 600
20 fDSPowWKOP 950
21 dzWIQJScCQ 550
22 DiOIxzZpbX 650
23 FCosutidsW 700
24 rsxjFhzGPL 450
25 kLhsZQLkyj 650
26 fZbeYCTOpQ 650
27 dKQbClaKDS 800
28 mnBOFVgnLq 900
29 MPBnQlNuyO 450
30 mDgAyMHuJU 550
41 14 URctIiZQdD 364
5 24 rsxjFhzGPL 452
43 29 bpqhbEzOGC 75
65 17 rdCQXddWIo 161
10 22 pZujcazbol 12
10 1 DCaXAdGAdp 462
59 26 fZbeYCTOpQ 376
3 22 DiOIxzZpbX 62
39 5 nCKankBPaT 21
14 4 dmLIEBXGdd 173
18 14 URctIiZQdD 310
15 15 bwQTHgMHDB 487
2 25 jNknKWCttF 489
9 17 oAfFopsOwN 74
15 19 NhOoSQMmuJ 172
75 16 RbGsUWYBus 493
60 22 uvdvMREzOu 194
59 10 buZaAdjEgT 415
31 12 PJEwqlTTat 373
68 3 gyFKgBuxMj 17
35 29 MPBnQlNuyO 65
5 3 gyFKgBuxMj 45
83 5 nCKankBPaT 58
70 6 HBMhlvtLPs 472
35 10 buZaAdjEgT 137
60 20 fDSPowWKOP 191
8 30 mDgAyMHuJU 122
46 15 bwQTHgMHDB 360
81 3 dSFDBsfIfw 201
11 28 mnBOFVgnLq 49
2 15 bwQTHgMHDB 470
67 3 gyFKgBuxMj 347
81 4 OSKlUxbQqA 147
32 25 kLhsZQLkyj 68
59 16 xVmIzSSkMz 208
36 14 tsRVYdjldh 137
27 17 rdCQXddWIo 378
62 24 rGPCTPLRzF 225
86 26 fZbeYCTOpQ 146
1 6 HBMhlvtLPs 473
78 23 FCosutidsW 416
49 16 RbGsUWYBus 336
87 3 YafRBXdjHm 68
71 3 gyFKgBuxMj 173
48 18 GkWQCzGQEG 200
45 25 kLhsZQLkyj 490
30 6 mRMeBuAVIP 469
26 16 JeeboPSSHL 24
88 28 mnBOFVgnLq 340
73 23 FCosutidsW 452
84 19 OdnXkYmyxx 299
88 8 vaYUkbStua 285
12 27 lmJQLnVTdi 34
15 9 DeoNJgPlMl 349
4 5 nCKankBPaT 169
40 1 DCaXAdGAdp 400
47 6 jhbtmWTqNB 128
78 14 URctIiZQdD 4
51 26 JcicFCGQpJ 183
31 27 OMIOuDgxFX 418
13 21 jdTFmbulRE 122
46 12 ZhXjGsWqQN 337
86 29 MPBnQlNuyO 26
71 18 GkWQCzGQEG 316
25 24 rsxjFhzGPL 468
56 19 GBaJRDTRaS 216
34 1 DCaXAdGAdp 3
60 12 PJEwqlTTat 3
20 1 DCaXAdGAdp 457
10 13 XIUJqaHieK 423
70 5 nCKankBPaT 449
41 1 DCaXAdGAdp 346
13 12 PJEwqlTTat 136
5 6 AAqvpwxtCa 344
54 17 rdCQXddWIo 61
53 17 rdCQXddWIo 441
12 25 kLhsZQLkyj 40
6 6 HBMhlvtLPs 279
11 30 mDgAyMHuJU 432
19 16 RbGsUWYBus 69
45 2 yhpiAGtNNK 499
35 4 ewCMmDCGGW 166
6 15 bwQTHgMHDB 62
63 14 URctIiZQdD 33
28 3 QcPHJImktF 18
11 11 mTrQwQllKS 75
80 11 mTrQwQllKS 170
40 10 buZaAdjEgT 104
53 19 NJPRGuqWfE 239
62 20 JypaBriSjA 278
2 23 FCosutidsW 160
84 30 mDgAyMHuJU 256
17 16 OpxaVyueKQ 84
11 21 dzWIQJScCQ 151
41 17 rdCQXddWIo 323
5 21 LsXBFeBJfc 147
78 29 jIGnsjwRGV 219
80 21 ZREOLMYHLz 16
10 29 MPBnQlNuyO 37
26 20 IIfyJUPwbQ 404
14 15 bFQtzFjeBR 386
3 16 RbGsUWYBus 229
89 7 nrvlfDuggc 114
87 21 dzWIQJScCQ 49
32 15 bwQTHgMHDB 440
44 18 GkWQCzGQEG 406
74 4 dmLIEBXGdd 65
31 27 xGSFtVWcFY 315
7 6 HBMhlvtLPs 490
26 25 kLhsZQLkyj 495
5 30 mDgAyMHuJU 45
4 15 bwQTHgMHDB 267
60 3 jEyjDEZzIF 110
2 12 gQwFIHtzmx 26
84 14 URctIiZQdD 95
27 19 NJPRGuqWfE 347
51 30 qghUYkLIdS 427
7 30 mDgAyMHuJU 13
13 10 buZaAdjEgT 455
27 30 HHKbphVqqD 42
28 14 kRmiOsfKjo 253
2 21 kcufpdzrMD 153
61 13 XIUJqaHieK 461
75 2 yhpiAGtNNK 102
14 27 dKQbClaKDS 113
3 27 dKQbClaKDS 434
2 4 PPhFBEYDIL 146
25 10 buZaAdjEgT 95
66 17 rdCQXddWIo 222
78 3 kAUerJQXZp 289
45 19 NJPRGuqWfE 262
47 19 NJPRGuqWfE 485
83 11 mTrQwQllKS 203
9 10 dHWPxUqkbH 64
83 30 jBeDieFbOz 60
11 11 mTrQwQllKS 303
67 16 RbGsUWYBus 455
73 26 fZbeYCTOpQ 96
59 6 HBMhlvtLPs 311
2 1 DCaXAdGAdp 30
35 25 ECnzmHQwRp 68
15 8 KaIrVsbzzm 351
41 16 RbGsUWYBus 173
74 1 cYJIByONLf 94
81 11 lXhDOnxJnX 112
5 1 DCaXAdGAdp 475
65 10 buZaAdjEgT 174
76 19 NJPRGuqWfE 181
2 22 DiOIxzZpbX 432
10 2 yhpiAGtNNK 143
61 17 rdCQXddWIo 143
63 27 dKQbClaKDS 71
69 21 dzWIQJScCQ 78
44 11 mTrQwQllKS 346
12 4 IfrSDkLnGB 263
25 8 KaIrVsbzzm 437
84 7 nrvlfDuggc 258
41 10 buZaAdjEgT 419
28 25 kLhsZQLkyj 196
20 6 HBMhlvtLPs 498
9 26 fZbeYCTOpQ 345
36 28 JOPrZBlDFl 405
24 9 MRwySGMnAh 189
34 6 HBMhlvtLPs 290
44 6 XpDtfHdPNa 473
69 24 rsxjFhzGPL 154
49 6 HBMhlvtLPs 77
18 13 XIUJqaHieK 343
81 30 mDgAyMHuJU 309
3 10 zJKEuGwSuF 216
6 25 CknlwMTSeC 117
5 11 cJXyLgtabG 499
81 7 nrvlfDuggc 178
