110 21 6079
1 ZCtCmtVxAp 700
2 UfJntjfTTd 150
3 XKHVGLTMyj 700
4 InboPPhmdR 600
5 fjgjpgXWTH 350
6 eOmTgtioyj 400
7 jDatwtQtrO 300
8 PlEkEEaHGd 300
9 DHQrwrjfni 350
10 iNargZnahL 500
11 FvosJTZrwT 250
12 PHGNXfiFTc 800
13 tHGsCgUaqw 500
14 ulSknuxmat 700
15 gNGhbwUjnA 550
16 BZDvgxGCuv 450
17 NYnqtHPZgZ 300
18 AWAAFucEWs 50
19 pmYqykPDHH 50
20 weqvHWbOxl 400
21 LGxRFtnqwP 450
89 17 NYnqtHPZgZ 35
38 3 XKHVGLTMyj 394
20 21 POMmKWWpYe 469
91 13 tHGsCgUaqw 38
16 9 DHQrwrjfni 362
9 9 DHQrwrjfni 343
41 16 BZDvgxGCuv 22
1 9 DHQrwrjfni 82
42 7 GoAjefFeWa 54
17 18 AWAAFucEWs 52
49 2 MbRuwXZhal 275
52 20 weqvHWbOxl 217
3 7 jDatwtQtrO 420
21 3 ktOAfpXiYz 102
86 14 ulSknuxmat 198
3 8 PWEnujZOBN 295
27 4 krxplwHHdx 419
94 6 eOmTgtioyj 383
103 16 oxzTDNnoNh 354
52 16 BZDvgxGCuv 388
14 10 iNargZnahL 327
38 8 PlEkEEaHGd 15
10 10 iNargZnahL 302
50 19 pmYqykPDHH 489
14 20 weqvHWbOxl 117
26 9 DHQrwrjfni 397
87 8 PlEkEEaHGd 420
78 7 jDatwtQtrO 394
72 3 mwQjQiBOTv 319
75 17 NYnqtHPZgZ 74
110 15 mwYPRVxlze 293
94 12 XKObECxxao 132
27 5 fjgjpgXWTH 3
66 4 mgQBhOIAvb 104
27 4 OMTEXAcFyF 203
54 2 UfJntjfTTd 200
88 2 UfJntjfTTd 218
76 13 tHGsCgUaqw 164
6 21 rFVTwTqWzL 2
9 9 DHQrwrjfni 448
50 4 InboPPhmdR 464
2 12 sxEYIJwRUm 463
95 15 gNGhbwUjnA 262
5 2 duJbcqDdCm 333
3 6 eOmTgtioyj 157
65 15 gNGhbwUjnA 498
96 7 jDatwtQtrO 429
97 10 iNargZnahL 65
38 4 InboPPhmdR 158
80 21 bpszujNcZd 122
87 3 vVJYnedoBb 153
86 4 InboPPhmdR 115
43 9 DHQrwrjfni 63
28 19 pmYqykPDHH 316
59 15 tUcjzUOfoi 98
67 8 PlEkEEaHGd 429
21 14 FFUEneyRFj 270
77 18 AWAAFucEWs 220
85 1 ZCtCmtVxAp 332
83 8 aujwNZAKKV 124
90 4 InboPPhmdR 128
105 6 zaQKNCWlGO 331
3 9 DHQrwrjfni 361
96 16 BZDvgxGCuv 95
30 4 InboPPhmdR 61
29 9 DHQrwrjfni 491
58 17 NYnqtHPZgZ 309
77 20 weqvHWbOxl 84
2 3 XKHVGLTMyj 134
22 18 AWAAFucEWs 148
109 14 OZhfAqjpUz 7
52 17 NYnqtHPZgZ 282
106 4 InboPPhmdR 201
1 18 KDTwlmqnJM 292
43 17 NYnqtHPZgZ 160
65 14 rAdszYqeTK 153
67 1 ZCtCmtVxAp 237
24 2 UfJntjfTTd 167
31 15 gNGhbwUjnA 362
85 18 AWAAFucEWs 277
3 20 weqvHWbOxl 346
64 1 gshKgVomOl 212
67 6 eOmTgtioyj 212
74 9 DHQrwrjfni 339
89 5 JlSYGNSopx 358
55 19 pmYqykPDHH 87
63 18 VKTYdpECia 480
72 7 jDatwtQtrO 384
32 2 IzlkZWBQwQ 363
66 5 fjgjpgXWTH 300
32 13 CsGAhgHKKD 489
28 10 wIauXqVbMl 378
51 3 UTUDOpXTwY 135
6 16 BZDvgxGCuv 8
61 4 InboPPhmdR 379
61 13 tHGsCgUaqw 446
94 5 fjgjpgXWTH 117
67 9 DHQrwrjfni 352
2 8 IGBSAPvhkB 411
6 16 BZDvgxGCuv 269
1 12 PHGNXfiFTc 41
71 13 tHGsCgUaqw 93
47 3 YGnSFsdGIk 53
24 20 weqvHWbOxl 132
7 21 vhDFfzqTNi 355
95 18 AWAAFucEWs 27
15 4 InboPPhmdR 374
39 16 KFvVDAUQah 102
3 12 PHGNXfiFTc 261
84 20 weqvHWbOxl 261
44 12 glyAyiLJwC 61
36 20 mSERXwajqA 61
56 11 FvosJTZrwT 383
29 17 NYnqtHPZgZ 386
74 11 FvosJTZrwT 490
83 6 IbAnoTPkLZ 31
36 13 tHGsCgUaqw 24
43 9 haixUflUMZ 409
77 10 iNargZnahL 487
8 16 BZDvgxGCuv 329
53 17 NYnqtHPZgZ 428
104 14 jyCSePtriV 428
63 17 NYnqtHPZgZ 410
87 15 iXZeCbCbjN 264
28 14 ulSknuxmat 213
44 2 qcTlGAszMB 154
29 7 ZZnrRhTRgZ 479
71 16 HPsOApAFoh 150
2 15 gNGhbwUjnA 343
6 13 tHGsCgUaqw 498
97 20 weqvHWbOxl 254
102 4 InboPPhmdR 313
10 9 DHQrwrjfni 27
